"C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2019.2\jbr\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2019.2\lib\idea_rt.jar=57631:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2019.2\bin" -Dfile.encoding=UTF-8 -classpath C:\Users\maxem\Documents\HeroArts\out\production\WebChecker linkChecker.LinkCheckerLimited
ERR | https://blog.heroarts.com/ | Blog | PARENT: https://heroarts.com
404 | https://heroarts.com/session/new | Log in | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/signup | signup | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/following | <div class="statnum">96</div> | PARENT: https://twitter.com/@myheroarts
Time elapsed: 2.319644017616667 minutes.
404 | https://heroarts.com/myheroarts/followers | <div class="statnum">25,352</div> | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/media/grid?idx=0 | IMAGE: http://rc= | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/media/grid?idx=1 | IMAGE: http://rc= | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/media/grid | View more photos | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts?p=i | IMAGE: http://lt= | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts?p=s | @ | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/status/1155909468447813632?p=p | 4h | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/status/1155909468447813632?p=v | View photo | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/reply/1155909468447813632?p=r | IMAGE: http://lt= | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/statuses/1155909468447813632/retweet?p=t | IMAGE: http://lt= | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/statuses/1155909468447813632/favorite?p=f&amp;authenticity_token=9b46d5e19e3adfeb6de5982c1aded3b095cadb7f | IMAGE: http://lt= | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/status/1155909468447813632/actions | IMAGE: http://        </span>    </td>  </tr></table>            <table class= | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/status/1155857482285244418?p=p | 8h | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/status/1155857482285244418?p=v | View photo | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/myheroarts/reply/1155857482285244418?p=r | IMAGE: http://lt= | PARENT: https://twitter.com/@myheroarts
404 | https://heroarts.com/statuses/1155857482285244418/retweet?p=t | IMAGE: http://lt= | PARENT: https://twitter.com/@myheroarts
